Karaoke,Boomdabash & Alessandra Amoroso
Mediterranea,Irama
Good times,Ghali
A un passo dalla luna,Rocco Hunt & Ana Mena
Blinding lights,The Weeknd
Superclassico,Ernia
Hypnotized,Purple Disco Machine & Sophie and the Giants
Dance monkey,Tones and I
Fai rumore,Diodato
blun7 a swishland,tha Supreme
Viceversa,Francesco Gabbani
Jerusalema,Master KG feat. Nomcebo Zikode
Boogieman,Ghali feat. Salmo
Breaking me,Topic & A7S
Rapide,Mahmood
Chega,Gaia Gozzi
Mamacita,Black Eyed Peas & Ozuna & J. Rey Soul
M'' manc,Shablo & Geolier & Sfera Ebbasta
Ti volevo dedicare,Rocco Hunt feat. JAx & BoomDaBash
Ringo Starr,Pinguini Tattici Nucleari
Tusa,Karol G & Nicki Minaj
Non mi basta più,Baby K feat. Chiara Ferragni
Fiori di Chernobyl,Mr. Rain
Paloma,Fred De Palma feat. Anitta
Roses [imanbek remix],Saint Jhn
Bando,Anna
Una volta ancora,Fred De Palma feat. Ana Mena
Ciclone,Takagi & Ketra & Elodie feat. Mariah & Gipsy Kings & Nicolas Reyes & Tonino Baliardo
Auto Blu,Shiva & Eiffel 65
Bimbi per strada (Children),Fedez & Robert Miles
Destri,Gazzelle
Chico,Guè Pequeno feat. Rose Villain & Luchè
Musica (e il resto scompare),Elettra Lamborghini
Savage love (LaxedSiren beat),Jawsh 685 & Jason Derulo
Don''t start now,Dua Lipa
Il bacio di Klimt,Emanuele Aloia
Per sentirmi vivo,Fasma & GG
Head & heart,Joel Corry feat. MNEK
Tutto questo sei tu,Ultimo
Before you go,Lewis Capaldi
Altalene,Slait & Tha Supreme feat. Mara Sattei & Coez
Guaranà,Elodie
Sono un bravo ragazzo un po'' fuori di testa,Random
Bella storia,Fedez
Spigoli,Carl Brave & Mara Sattei & tha Supreme
Bottiglie privè,Sfera Ebbasta
Death bed,Powfu feat. Beabadoobee
Ridere,Pinguini Tattici Nucleari
Ritmo (Bad boys for life),Black Eyed Peas & J Balvin
Dorado,Mahmood & Sfera Ebbasta & Feid
Bam Bam Twist,Achille Lauro feat. Gow Tribe
Me ne frego,Achille Lauro
Andromeda,Elodie
16-mar, Achille Lauro feat. Gow Tribe
In your eyes,The Weeknd
NeonLe ali,Marracash & Elisa
Baby,Sfera Ebbasta & J Balvin
BRAVI A CADERE: I polmoni,Marracash
Tikibombom,Levante
Physical,Dua Lipa
Non avere paura,Tommaso Paradiso
Mood,24kGoldn feat. Iann Dior
Watermelon sugar,Harry Styles
Autostop,Shade
Le feste di Pablo,Cara & Fedez
Rain on me,Lady Gaga & Ariana Grande
CRUDELIA: I nervi,Marracash
Dynamite,BTS
Ansia no,Fsk Satellite feat. Taxi B & Sapobully & Greg Willen & chiello_fsk
Rockstar,DaBaby feat. Roddy Ricch
22-set,Ultimo
SUPREME: L''ego,Marracash & tha Supreme & Sfera Ebbasta
La mia hit,J-Ax feat. Max Pezzali
Fuck 3x,tha Supreme
Dove e quando,Benji & Fede
Elegante,Drefgold & Sfera Ebbasta
Nena,Boro Boro & Geolier & Andry The Hitmaker
Roxanne,Arizona Zervas
Memories,Maroon 5
Un dia (One day),J Balvin & Dua Lipa & Bad Bunny & Tainy
All I want for Christmas is you,Mariah Carey
Chiasso,Random
Testa tra le nuvole Pt. 2,Alfa & Yanomi
Stu core t''apparten,Rocco Hunt
Someone you loved,Lewis Capaldi
Crepe,Irama
Falling,Trevor Daniel
La storia infinita,Pinguini Tattici Nucleari
Balla per me,Tiziano Ferro & Jovanotti
Una voglia assurda,J-AX
La isla,Giusy Ferreri & Elettra Lamborghini
Vent''anni,Maneskin
Ricordami,Tommaso Paradiso
Dov''è,Le Vibrazioni
Lose control,Meduza & Becky Hill & Goodboys
Break my heart,Dua Lipa
Te lo prometto,Il Tre
Ride it,Regard
Let''s love,David Guetta & Sia
Cin Cin,Alfa & Yanomi